Time,Voltage
14.7246,-0.133873
14.7256,-0.0627662
14.7266,-0.210112
14.7275,-0.388766
14.7285,-0.415025
14.7295,-0.24026
14.7305,-0.0599045
14.7314,-0.04291
14.7324,-0.0567248
14.7334,-0.0593219
14.7344,-0.0908473
14.7354,-0.05768
14.7363,0.0648813
14.7373,0.23001
14.7383,0.329794
14.7393,0.236074
14.7402,0.0812728
14.7412,0.0555421
14.7422,0.0613192
14.7432,0.0434431
14.7441,0.103714
14.7451,0.170759
14.7461,0.16074
14.7471,0.096926
14.748,-0.0965699
14.749,-0.398593
14.75,-0.552711
14.751,-0.338157
14.752,0.0956203
14.7529,0.248219
14.7539,0.063447
14.7549,0.0134803
14.7559,0.182541
14.7568,0.338134
14.7578,0.349078
14.7588,0.237496
14.7598,0.22352
14.7607,0.299429
14.7617,0.290336
14.7627,0.262462
14.7637,0.21228
14.7646,0.0730221
14.7656,-0.0830453
14.7666,-0.230781
14.7676,-0.314007
14.7686,-0.309129
14.7695,-0.365486
14.7705,-0.490825
14.7715,-0.572718
14.7725,-0.63775
14.7734,-0.687828
14.7744,-0.53357
14.7754,-0.0695102
14.7764,0.483457
14.7773,0.941109
14.7783,1.19447
14.7793,1.07199
14.7803,0.618892
14.7813,-0.0183723
14.7822,-0.531135
14.7832,-0.648461
14.7842,-0.56588
14.7852,-0.437734
14.7861,-0.274383
14.7871,-0.144326
14.7881,-0.00727407
14.7891,0.17472
14.79,0.295695
14.791,0.239244
14.792,0.121063
14.793,0.0717572
14.7939,0.0585766
14.7949,0.187741
14.7959,0.392873
14.7969,0.301256
14.7979,0.0168641
14.7988,-0.108295
14.7998,-0.139615
14.8008,-0.0988208
14.8018,0.0673282
14.8027,0.17926
14.8037,0.195664
14.8047,0.209014
14.8057,0.255491
14.8066,0.30934
14.8076,0.180061
14.8086,-0.166465
14.8096,-0.525002
14.8105,-0.719774
14.8115,-0.446298
14.8125,0.204782
14.8135,0.512496
14.8145,0.371384
14.8154,0.232565
14.8164,0.161422
14.8174,0.12937
14.8184,0.0729452
14.8193,-0.128128
14.8203,-0.266982
14.8213,-0.19137
14.8223,-0.0880801
14.8232,-0.0534029
14.8242,-0.00623242
14.8252,0.0789318
14.8262,0.134918
14.8271,0.0494993
14.8281,-0.177679
14.8291,-0.374779
14.8301,-0.444977
14.8311,-0.345718
14.832,-0.0402513
14.833,0.20458
14.834,0.149884
14.835,-0.00854812
14.8359,-0.118146
14.8369,-0.257877
14.8379,-0.385545
14.8389,-0.371284
14.8398,-0.286756
14.8408,-0.197608
14.8418,0.080601
14.8428,0.453849
14.8438,0.529175
14.8447,0.311447
14.8457,0.0762541
14.8467,-0.0250417
14.8477,-0.0449208
14.8486,-0.153327
14.8496,-0.195479
14.8506,0.0426497
14.8516,0.288575
14.8525,0.32974
14.8535,0.286027
14.8545,0.168065
14.8555,-0.0135429
14.8564,-0.126373
14.8574,-0.208542
14.8584,-0.336181
14.8594,-0.446207
14.8604,-0.489415
14.8613,-0.414472
14.8623,-0.273043
14.8633,-0.150077
14.8643,0.0749791
14.8652,0.505161
14.8662,1.13861
14.8672,1.6191
14.8682,1.36514
14.8691,0.653438
14.8701,0.178568
14.8711,-0.086795
14.8721,-0.328139
14.873,-0.456494
14.874,-0.496452
14.875,-0.543505
14.876,-0.565982
14.877,-0.511295
14.8779,-0.45437
14.8789,-0.488209
14.8799,-0.544243
14.8809,-0.466779
14.8818,-0.335203
14.8828,-0.317508
14.8838,-0.157131
14.8848,0.247123
14.8857,0.400346
14.8867,0.19102
14.8877,0.0412323
14.8887,0.0711407
14.8896,0.0921351
14.8906,0.0634312
14.8916,0.0931363
14.8926,0.133195
14.8936,0.013243
14.8945,-0.209976
14.8955,-0.291213
14.8965,-0.220405
14.8975,-0.231394
14.8984,-0.336601
14.8994,-0.328672
14.9004,-0.200481
14.9014,-0.061179
14.9023,0.00416442
14.9033,-0.0639549
14.9043,-0.0196065
14.9053,0.298335
14.9063,0.563505
14.9072,0.577646
14.9082,0.458343
14.9092,0.354786
14.9102,0.436485
14.9111,0.58771
14.9121,0.456706
14.9131,0.229813
14.9141,0.0394193
14.915,-0.392752
14.916,-0.512575
14.917,-0.275555
14.918,-0.503133
14.9189,-0.677804
14.9199,-0.420045
14.9209,-0.26882
14.9219,-0.0654956
14.9229,0.349021
14.9238,0.625467
14.9248,0.569632
14.9258,0.325948
14.9268,0.203685
14.9277,0.263492
14.9287,0.22113
14.9297,-0.0255916
14.9307,-0.265284
14.9316,-0.4979
14.9326,-0.644201
14.9336,-0.701948
14.9346,-0.81825
14.9355,-0.102168
14.9365,1.32022
14.9375,1.67805
14.9385,1.09068
14.9395,0.52206
14.9404,-0.056626
14.9414,-0.477789
14.9424,-0.639277
14.9434,-0.681583
14.9443,-0.659608
14.9453,-0.671494
14.9463,-0.710356
14.9473,-0.718961
14.9482,-0.668773
14.9492,-0.45859
14.9502,-0.195049
14.9512,-0.175426
14.9521,-0.254432
14.9531,-0.0737674
14.9541,0.344823
14.9551,0.790097
14.9561,1.24961
14.957,1.48515
14.958,0.932769
14.959,0.21944
14.96,0.159971
14.9609,0.0356788
14.9619,-0.374411
14.9629,-0.551421
14.9639,-0.622782
14.9648,-0.660474
14.9658,-0.554499
14.9668,-0.407399
14.9678,-0.321376
14.9688,-0.325888
14.9697,-0.304662
14.9707,-0.072245
14.9717,0.187484
14.9727,0.174503
14.9736,0.0162084
14.9746,-0.059895
14.9756,-0.0167766
14.9766,0.0535646
14.9775,0.107788
14.9785,0.308654
14.9795,0.650048
14.9805,0.83455
14.9814,0.692092
14.9824,0.229706
14.9834,-0.380822
14.9844,-0.671106
14.9854,-0.429234
14.9863,-0.0228625
14.9873,0.261273
14.9883,0.258325
14.9893,-0.159433
14.9902,-0.595712
14.9912,-0.659398
14.9922,-0.418458
14.9932,-0.00110733
14.9941,0.304027
14.9951,0.306657
14.9961,0.276338
14.9971,0.283715
14.998,0.151245
14.999,0.0420342
15,0.0810099
15.001,0.0477505
15.002,-0.0682886
15.0029,-0.0757003
15.0039,-0.0658083
15.0049,-0.167375
15.0059,-0.303155
15.0068,-0.433887
15.0078,-0.468499
15.0088,-0.301835
15.0098,-0.129912
15.0107,-0.0809286
15.0117,0.040287
15.0127,0.193867
15.0137,0.107943
15.0146,0.0249441
15.0156,0.353868
15.0166,0.621611
15.0176,0.223183
15.0186,-0.271828
15.0195,-0.0222393
15.0205,0.72767
15.0215,1.15639
15.0225,0.929218
15.0234,0.298643
15.0244,-0.296695
15.0254,-0.53988
15.0264,-0.455852
15.0273,-0.314506
15.0283,-0.288655
15.0293,-0.377765
15.0303,-0.483659
15.0313,-0.463891
15.0322,-0.300926
15.0332,-0.187147
15.0342,-0.192355
15.0352,-0.178594
15.0361,-0.144041
15.0371,0.066291
15.0381,0.39095
15.0391,0.238159
15.04,-0.164187
15.041,-0.219462
15.042,-0.0863048
15.043,0.032152
15.0439,0.0382802
15.0449,-0.0889518
15.0459,-0.187807
15.0469,-0.218453
15.0479,-0.211907
15.0488,-0.147517
15.0498,0.0140203
15.0508,0.213128
15.0518,0.372879
15.0527,0.442538
15.0537,0.267572
15.0547,-0.0953817
15.0557,-0.330131
15.0566,-0.306684
15.0576,-0.145189
15.0586,-0.028922
15.0596,0.0457918
15.0605,0.223644
15.0615,0.361403
15.0625,0.314852
15.0635,0.297413
15.0645,0.32257
15.0654,0.197744
15.0664,0.0277854
15.0674,-0.0402294
15.0684,-0.0520971
15.0693,-0.0870967
15.0703,-0.186377
15.0713,-0.292441
15.0723,-0.348371
15.0732,-0.409195
15.0742,-0.484101
15.0752,-0.494242
15.0762,-0.341434
15.0771,0.00785566
15.0781,0.393541
15.0791,0.643863
15.0801,0.630925
15.0811,0.299937
15.082,0.019823
15.083,0.0521115
15.084,0.120487
15.085,0.127641
15.0859,0.129707
15.0869,0.0251653
15.0879,-0.151818
15.0889,-0.275044
15.0898,-0.261114
15.0908,-0.215017
15.0918,-0.255871
15.0928,-0.21023
15.0938,-0.0597789
15.0947,0.0197496
15.0957,-0.0100962
15.0967,-0.123995
15.0977,-0.163387
15.0986,-0.0780157
15.0996,-0.140041
15.1006,-0.320283
15.1016,-0.136556
15.1025,0.357982
15.1035,0.637944
15.1045,0.740271
15.1055,0.712536
15.1064,0.385829
15.1074,0.0997642
15.1084,0.00859152
15.1094,-0.122073
15.1104,-0.245648
15.1113,-0.285703
15.1123,-0.370155
15.1133,-0.480634
15.1143,-0.460095
15.1152,-0.459571
15.1162,-0.368293
15.1172,0.28243
15.1182,0.959346
15.1191,0.903765
15.1201,0.489774
15.1211,0.166526
15.1221,-0.0312196
15.123,-0.018503
15.124,0.107686
15.125,0.0877647
15.126,-0.107408
15.127,-0.283122
15.1279,-0.327327
15.1289,-0.247471
15.1299,-0.103726
